Q3,Q5,hireability_HR_10,years_experience_H,prev_jobs_H,applicant_male,applicant_age,applicant_ethnicity,hireability_Software_10,years_experience_S,prev_jobs_S,Q226,Q227,Q228,male,male_10_TEXT,birth_year,race,educ,educ_8_TEXT,Q43,Q117,PROLIFIC_PID,Job,Cond,Name,Dates1,Dates2
6,ice,92,10,2,1,30,7,,,,,,,1,,71,2,5,,No,42,51,HR,Male Treat,Samuel Brown,6 years,4 years
6,ice,,,,,,,100,10,2,1,34,7,1,,73,2,5,,No,32,5.20E+01,Software,Male Normal,James Smith,Jan 2015 - Present.,Jan 2011 - Jan 2015.
6,ice,,,,,,,63,8,1,0,30,7,1,,54,2,3,,No,28,5.30E+01,Software,Female Normal,Jessica Smith,Jan 2015 - Present.,Jan 2011 - Jan 2015.
6,ice,71,7,2,1,28,7,,,,,,,0,,76,2,3,,no,32,54,HR,Male Normal,Samuel Brown,Jan 2015 - Present.,Jan 2011 - Jan 2015.
1,,,,,,,,,,,,,,,,,,,,,,55,,,,,
1,,,,,,,,,,,,,,,,,,,,,,56,,,,,
6,ice,,,,,,,88,10,2,0,33,7,0,,73,2,7,,no,38,57,Software,Female Treat,Jessica Smith,6 years,4 years
6,ice,,,,,,,90,9,2,1,32,4,0,,78,2,3,,No,40,58,Software,Male Treat,James Smith,6 years,4 years
6,ice,100,19,3,0,44,7,,,,,,,0,,75,2,5,,No,34,59,HR,Female Treat,Sarah Brown,6 years,4 years
1,,,,,,,,,,,,,,,,,,,,,,6.00E+01,,,,,
6,ice,83,10,4,0,34,7,,,,,,,0,,73,5,6,,,37,6.10E+01,HR,Female Treat,Sarah Brown,6 years,4 years
6,ice,95,10,2,0,27,7,,,,,,,1,,66,2,3,,,32,62,HR,Female Normal,Sarah Brown,Jan 2015 - Present.,Jan 2011 - Jan 2015.
6,ice,,,,,,,100,10,2,0,32,7,0,,67,2,5,,,38,63,Software,Female Normal,Jessica Smith,Jan 2015 - Present.,Jan 2011 - Jan 2015.
1,,,,,,,,,,,,,,,,,,,,,,64,,,,,
6,ice,,,,,,,100,10,2,1,34,7,0,,46,2,5,,No,37,65,Software,Female Normal,Jessica Smith,Jan 2015 - Present.,Jan 2011 - Jan 2015.
6,ice,,,,,,,90,8,2,1,30,7,1,,62,2,5,,,,66,Software,Male Normal,James Smith,Jan 2015 - Present.,Jan 2011 - Jan 2015.
6,ice,100,6,2,1,32,5,,,,,,,1,,64,2,5,,No,32,67,HR,Male Treat,Samuel Brown,6 years,4 years
6,ice,100,8,2,1,32,7,,,,,,,1,,77,3,5,,No,44,6.80E+01,HR,Male Normal,Samuel Brown,Jan 2015 - Present.,Jan 2011 - Jan 2015.
6,ice,70,10,2,1,32,7,,,,,,,1,,65,2,5,,,36,6.90E+01,HR,Male Treat,Samuel Brown,6 years,4 years
6,ice,,,,,,,68,2,3,0,24,7,0,,59,2,3,,no,43,70,Software,Female Normal,Jessica Smith,Jan 2015 - Present.,Jan 2011 - Jan 2015.
1,,,,,,,,,,,,,,,,,,,,,,71,,,,,
1,,,,,,,,,,,,,,,,,,,,,,72,,,,,
6,ice,91,10,2,0,30,7,,,,,,,1,,79,2,5,,I could not remember how many years experience she had.,33,73,HR,Female Normal,Sarah Brown,Jan 2015 - Present.,Jan 2011 - Jan 2015.
6,ice,,,,,,,71,10,2,1,35,7,1,,64,2,6,,No.,30,74,Software,Male Normal,James Smith,Jan 2015 - Present.,Jan 2011 - Jan 2015.
6,ice,,,,,,,90,10,2,0,33,4,0,,80,2,3,,No,32,75,Software,Female Treat,Jessica Smith,6 years,4 years
6,ice,80,15,3,0,40,7,,,,,,,0,,73,2,5,,,42,7.60E+01,HR,Female Treat,Sarah Brown,6 years,4 years
6,ice,90,10,2,0,33,7,,,,,,,1,,69,2,5,,No.,42,7.70E+01,HR,Female Treat,Sarah Brown,6 years,4 years
6,ice,,,,,,,100,6,2,1,34,7,0,,75,2,5,,No.,40,78,Software,Male Treat,James Smith,6 years,4 years
6,ice,,,,,,,80,7,2,0,30,7,0,,67,2,5,,No.,43,79,Software,Female Treat,Jessica Smith,6 years,4 years
