CODE	Label - English	Label - French	Label - German	Standard code	Note (EN only)
SZ_CAP	Mbabane	Mbabane	Mbabane	Y	
AFR_W	Western Africa	Afrique occidentale	Westafrika	Y	This aggregate covers following countries: BJ, BF, CV, CI, GM, GH, GN, GW, LR, ML, MR, NE, NG, SH, SN, SL, TG
BJ	Benin	Bénin	Benin	Y	
BJ_DEL	Cotonou (seat of government)	Cotonou (siège du gouvernement)	Cotonou (Regierungssitz)	Y	
BF	Burkina Faso	Burkina Faso	Burkina Faso	Y	
BF_CAP	Ouagadougou	Ouagadougou	Ouagadougou	Y	
CV	Cabo Verde	Cabo Verde	Cabo Verde	Y	
CV_CAP	Praia	Praia	Praia	Y	
CI	Côte d’Ivoire	Côte d’Ivoire	Côte d’Ivoire	Y	
CI_DEL	Abidjan (seat of government)	Abidjan (siège du gouvernement)	Abidjan (Regierungssitz)	Y	
GM	Gambia, The	Gambie	Gambia	Y	
GM_CAP	Banjul	Banjul	Banjul	Y	
GH	Ghana	Ghana	Ghana	Y	
GH_CAP	Accra	Accra	Accra	Y	
GN	Guinea	Guinée	Guinea	Y	
GN_CAP	Conakry	Conakry	Conakry	Y	
GW	Guinea-Bissau	Guinée-Bissau	Guinea-Bissau	Y	
GW_CAP	Bissau	Bissau	Bissau	Y	
LR	Liberia	Liberia	Liberia	Y	
LR_CAP	Monrovia	Monrovia	Monrovia	Y	
ML	Mali	Mali	Mali	Y	
ML_CAP	Bamako	Bamako	Bamako	Y	
MR	Mauritania	Mauritanie	Mauretanien	Y	
MR_CAP	Nouakchott	Nouakchott	Nouakchott	Y	
NE	Niger	Niger	Niger	Y	
NE_CAP	Niamey	Niamey	Niamey	Y	
NG	Nigeria	Nigeria	Nigeria	Y	
NG_CAP	Abuja	Abuja	Abuja	Y	
NG_DEL	Lagos	Lagos	Lagos	Y	
SH	Saint Helena, Ascension and Tristan da Cunha	Sainte-Hélène, Ascension et Tristan da Cunha	St. Helena, Ascension und Tristan da Cunha	Y	British overseas territory (UK)
SN	Senegal	Sénégal	Senegal	Y	
SN_CAP	Dakar	Dakar	Dakar	Y	
SL	Sierra Leone	Sierra Leone	Sierra Leone	Y	
SL_CAP	Freetown	Freetown	Freetown	Y	
TG	Togo	Togo	Togo	Y	
TG_CAP	Lomé	Lomé	Lomé	Y	
AFR_OTH	Other African countries (aggregate changing according to the context)	Autre(s) pays d'Afrique (agrégat variable en fonction du contexte)	Sonstige afrikanische Länder (Aggregat ändert sich je nach Anwendungsbereich)	Y	
AFR_NSP	African countries, not specified	Pays d'Afrique, non spécifiés	Afrikanische Länder, nicht angegeben	Y	
AME_N_OCE	Northern America and Oceania	Amérique septentrionale et Océanie	Nordamerika und Ozeanien	Y	This aggregate covers Northern America and Oceania
AME	America	Amérique	Amerika	Y	This aggregate covers following countries: AI, AG, AW, BS, BB, VG, KY, CU, DM, DO, GD, GP, HT, JM, MQ, MS, AN, PR, BL, KN, LC, MF, VC, TT, TC, VI, BZ, CR, SV, GT, HN, MX, NI, PA, AR, BO, BR, CL, CO, EC, FK, GF, GY, PY, PE, SR, UY, VE, BM, CA, GL, PM, US
AME_N	Northern America	Amérique septentrionale	Nordamerika	Y	This aggregate covers following countries: BM, CA, GL, PM, US
BM	Bermuda	Bermudes	Bermuda	Y	British overseas territory (UK)
CA_US	Canada and United States	Canada et États-Unis	Kanada und Vereinigte Staaten	Y	
CA	Canada	Canada	Kanada	Y	
CA_CAP	Ottawa	Ottawa	Ottawa	Y	
GL	Greenland	Groenland	Grönland	Y	Self-governing territory of Denmark (DK)
GL_CAP	Nuuk	Nuuk	Nuuk	Y	
PM	Saint Pierre and Miquelon	Saint-Pierre-et-Miquelon	St. Pierre und Miquelon	Y	French overseas collectivity (COM = collectivité d'outre-mer), with the special denomination 'Territorial Collectivity of Saint Pierre and Miquelon'.
US	United States	États-Unis	Vereinigte Staaten	Y	
US_CAP	Washington, D.C.	Washington, D.C.	Washington, D.C.	Y	
US_DEL1	New York	New York	New York	Y	
US_DEL2	San Francisco	San Francisco	San Francisco	Y	
US_DEL	New York	New York	New York	O	
AME_N_OTH	Other Northern American countries	Autre(s) pays d'Amérique septentrionale	Sonstige nordamerikanische Länder	Y	
AME_N_NSP	Northern American countries, not specified	Pays d'Amérique septentrionale, non spécifiés	Nordamerikanische Länder, nicht angegeben	Y	
AME_X_N	Caribbean, Central and South America	Caraïbes, Amérique centrale et du Sud	Karibik, Mittel- und Südamerika	Y	
AME_C_CRB	Central America and Caribbean	Amérique centrale et Caraïbes	Mittelamerika und Karibik	Y	This aggregate covers following countries: AI, AG, AW, BS, BB, VG, KY, CU, DM, DO, GD, GP, HT, JM, MQ, MS, AN, PR, BL, KN, LC, MF, VC, TT, TC, VI, BZ, CR, SV, GT, HN, MX, NI, PA
CRB	Caribbean	Caraïbes	Karibik	Y	This aggregate covers following countries: AI, AG, AW, BS, BB, VG, KY, CU, DM, DO, GD, GP, HT, JM, MQ, MS, AN, PR, BL, KN, LC, MF, VC, TT, TC, VI
AI	Anguilla	Anguilla	Anguilla	Y	British overseas territory (UK)
AG	Antigua and Barbuda	Antigua-et-Barbuda	Antigua und Barbuda	Y	
AW	Aruba	Aruba	Aruba	Y	Autonomous entity of  the Kingdom of the Netherlands (NL)
BS	Bahamas	Bahamas	Bahamas	Y	
BB	Barbados	Barbade	Barbados	Y	
BB_CAP	Bridgetown	Bridgetown	Bridgetown	Y	
BQ	Bonaire, Saint Eustatius and Saba	Bonaire, Saint-Eustache et Saba	Bonaire, St. Eustatius und Saba	Y	Special municipalities of the Netherlands
